,User,Date Created,Number of Likes,Source of Tweet,Tweet
526,ChrisMeyer1776,2023-03-12 17:53:34+00:00,0,Twitter for Android,"@WhiteHouse Yup, banks collapsing, massive layoffs.  Inflation still outrageous.  The same direction the Biden policies have aimed it. https://t.co/QwfC12YD1K"
527,Kabootar7777,2023-03-12 17:51:11+00:00,10,Twitter for iPhone,@Stephen_Geiger @DavidSacks David was cheering and advocating for deep layoffs for last few months (telling CEOs to cut fast and cut deep). Now he is worried about payrolls? He is indeed worried about his deposits at SVB and not about ppl losing job. He also doesn’t seem to understand what FDIC LIMIT mean
528,veesaintlaurent,2023-03-12 17:51:10+00:00,2,Twitter for iPhone,"@ConspiracyToken @baldwin_daniel_ @OANN Nothing to do with Biden. While interest rates were low they invested a lot of money into bonds and when they spiked the interest rates, the bonds no longer held value. Tech companies started layoffs and couldn’t fund money. https://t.co/Ri2sCQVoLk"
529,SirCoach,2023-03-12 17:50:48+00:00,4,Twitter Web App,"Some startup founders,  golden parachutes and mass layoffs walk into a bar...."
530,SanFranAnt,2023-03-12 17:50:46+00:00,0,Twitter for iPhone,@AndrewYang Andrew. The FED is saying we need more layoffs for inflation to go down. I know I know not those layoffs peasant layoffs are much better
531,EricBiggart,2023-03-12 17:48:42+00:00,2,Twitter Web App,Bookmarking this to remember when the founders on the list do their next round of layoffs after the government bails them out this week.
532,mariadejesus82,2023-03-12 17:48:39+00:00,20,Twitter Web App,"A semana promete ser daquelas, bancos quebrando, layoffs à vista em gargalos, efeitos em cascata. As narrativas, vcs já conhecem . O blá blá bla de sempre .

O Reset , vai muito bem obrigado.

Se cuidem 

Bjs 💋 da Má"
533,GWGuidePost,2023-03-12 17:47:54+00:00,0,Twitter for Android,"@Xplorationality @BitcoinShaykh @BobEUnlimited @mikeharrisNY That's already baked into the rate hikes. People are going to lose their livelihoods, layoffs are going to increase, thousands of businesses are going to shut down, and this is going to be a recession, possibly even a depression level event. If you havent been paying attention"
534,MoBummer1,2023-03-12 17:47:48+00:00,0,Twitter for Android,"If you layoff the grande burritos and Krispy Kreme, you might make it to 30."
535,IRAOwnersManual,2023-03-12 17:47:04+00:00,0,IRAOM PFShare,How to be Prepared With Layoffs Looming #PFshare via @Retirementpedia https://t.co/xQ8o8DaHBb
536,PhoenixJRamos,2023-03-12 17:46:16+00:00,12,Twitter for Android,"I am a member of VR. I was fired in a mass layoff and all the chairman did was make a weak statement about how mass layoffs are bad.

I will not be voting for him again. I am voting for Elva Hrönn. Its time for leadership that serves its members."
537,nikolina0315,2023-03-12 17:45:26+00:00,0,Twitter for iPhone,"@Anxsks I wonder what you enjoy. 
Is it 100% increase in cost of gas or 40% on groceries, 36% on insurance policies or massive layoffs, how about 5 mill illegals hopped on our subsidies coming to them from our tax dollar?
Or maybe 106,000 dead from fentanyl that pleases you the most?"
538,bowtiedcontract,2023-03-12 17:45:00+00:00,2,Twitter Web App,"When working for the gov't, you are really really hard to layoff or fire, your pay will increase with inflation and if overseas you will likely earn an allowance based on USD conversion rate that will cover your housing and food

Perfect scenario to work on online biz"
539,williamviablank,2023-03-12 17:44:33+00:00,1,Twitter for iPhone,inflation already effects businesses disproportionately and causes layoffs when it gets too high. why would you call to exacerbate this effect by increasing the cost of doing business EVEN MORE during periods of heavy inflation? anti-worker position
540,ekstersun,2023-03-12 17:44:32+00:00,2,Twitter for iPhone,@intocryptoverse The massive layoffs coming soon
541,fbaeta,2023-03-12 17:44:28+00:00,0,Twitter for iPhone,Tanta gente com medo de layoffs. E se essa turma começar a empreender e lançar seus produtos?
542,ps5_expert_play,2023-03-12 17:44:12+00:00,2,Twitter Web App,"@DavidSacks Remember when you were calling for startups to do layoffs? And now when startups might have to do layoffs you are asking us to be concerned about the people being laid off?

Just be honest and say that the unemployed individuals are not your main concern here."
543,abc27News,2023-03-12 17:44:04+00:00,0,SocialFlow,"To put it very unscientifically, the economy right now is weird. Major tech companies keep announcing layoffs, but unemployment claims fall week after week
https://t.co/t12JyF2I2o?"
544,JpMaxMan,2023-03-12 17:43:05+00:00,0,Moa Bridge,"RT @kainoa@calckey.social
Please boost ​:boost_requested:​

As part of a wave of layoffs, I got laid off from my backend development job last month as the company's financials I was working with have been steadily decreasing. I applied for another job shortly after, and (1/4)"
545,AnimationMerc,2023-03-12 17:42:51+00:00,1,Twitter Web App,"@AronDurkin With the current state of mortgage rates and layoffs, it's hard to imagine ever moving for a studio unless I wanted to move anyway, or the pay is exceptional. 

If you got a mortgage between 2014 and 2020, you should probably never sell your house."
546,sd91634070,2023-03-12 17:42:31+00:00,0,Twitter for iPhone,@cenkuygur @RoKhanna all the smart depositors and the senior mgmt has pulled their money - where is this concern for making payroll when people lose jobs from mass layoffs or removing the student debt yoke
547,MDavis9950,2023-03-12 17:41:04+00:00,0,IFTTT,"📸 DIY Photography 📸
Adobe: We are committed not having company wide layoffs https://t.co/VjYtIDf3fM"
548,greenshame,2023-03-12 17:40:33+00:00,0,Twitter for iPhone,A comprehensive list of 2023 tech layoffs | TechCrunch #recession #ireland https://t.co/dMEqdWZZEk
549,diyphotography,2023-03-12 17:40:02+00:00,1,diyp-fs-poster,"Adobe: We are committed not having company wide layoffs
https://t.co/bWei53fh1Y"
550,AllieWag,2023-03-12 17:38:02+00:00,0,Twitter for iPhone,@midnucas @basedcone @sama The layoffs from the past few months have ranged 5-15% of staff - mostly a correction from pandemic over-hiring. What would result from this if deposits aren’t covered would be anywhere from 40-90% layoffs. Catastrophic.
551,Sriniba90545602,2023-03-12 17:37:46+00:00,1,Twitter for Android,"One Adani vs Ecosystem

Silicon Valley Bank collapse may lead to 1,00,000 layoffs, impact 10,000 startups: Y Combinator writes to US Treasury Secy.

The petition, to save startups and hundreds of thousands of jobs, written by Garry Tan, CEO and President of Y Combinator"
552,JoethomasUX,2023-03-12 17:37:37+00:00,1,Twitter for iPhone,"@maziehirono Lady Biden printed 10 trillion in 2 years, stop deceiving and dividing, the entire game is over. Massive layoffs are coming to all classes because you didn’t manage entitlements, catered to corporations, and misled the public before our collapse. @GOP @TheDemocrats https://t.co/MNYEYtahrY"
553,LiAnna1990918,2023-03-12 17:37:19+00:00,0,Twitter Web App,Coinbase CEO says there won't be more layoffs.
554,ChildishDoguino,2023-03-12 17:36:29+00:00,0,Twitter for Android,"Mais um Júnior demitido, alguém precisa parar esses layoffs"
555,HaveWeAllGoneM1,2023-03-12 17:36:27+00:00,5,Twitter Web App,"""Expect Mass Layoffs..."" - The Real-World Impact Of SVB's Failure

Reality is that the contagion of the shuttering of the 18th largest bank in the US are widespread.
#SiliconValleyBank #SVBCollapse
https://t.co/xSVirDuZi5"
556,midnucas,2023-03-12 17:35:02+00:00,1,Twitter for iPhone,@AllieWag @basedcone @sama The depositors are already surely planning to mass layoff employees like Silly Valley has been doing for months. Now they’re just pretending they’re not in order to demand a government bailout
557,don_drone,2023-03-12 17:34:47+00:00,1,Twitter Web App,"Experts on Wednesday: we need to get inflation under control and it will be a struggle.

Last Friday: can we give everyone their money in the SVB collapse and not have any layoffs?

Next Friday: we need to get inflation under control and it will be a struggle."
558,MZZT4ME,2023-03-12 17:34:36+00:00,0,Twitter Web App,Qvc layoffs and our friends https://t.co/j6nm33UP4f via @YouTube
559,Red_Roscoe,2023-03-12 17:34:33+00:00,0,Twitter for iPhone,"@glamdringfohamr They got bailouts in ‘08, still did massive layoffs, and paid themselves bonuses.  They got bailed out by PPP and simply bought back their own stock and paid dividends.  They don’t need a third bailout in 15 years."
560,t3rrordactyl,2023-03-12 17:34:31+00:00,6,Twitter for Android,"""You're laughing. The second biggest bank run in the US (so far) is gonna upend an industry that was already doing massive layoffs, promotion freezes, and lowering company valuations, and all the industries that relied on it, and you're laughing"" https://t.co/dMfcXyA7iV"
561,Cardon_Saguaro,2023-03-12 17:34:09+00:00,7,Twitter for iPhone,"@DigiByteCoin Many different aspects, however, at the moment I love that it is a public blockchain &amp; utility to benefit the general public. No central authority, not a company, no ceo, no layoffs, no bankruptcy. Anyone can contribute to DigiByte development or build applications on it."
562,68CElliott,2023-03-12 17:32:31+00:00,0,Twitter for iPhone,"10-15 years ago everyone said “go into tech” or “become a programmer”. The tech industry was booming. You could go get a tech cert and make $100k starting. However, as the tech industry has to now pay the piper, you’re seeing layoffs left and right. Now, I’m seeing…."
563,taysmak,2023-03-12 17:32:15+00:00,2,Twitter for iPhone,"@BillyM2k Fear posts for months about record debt, layoffs, stocks and crypto crashing, etc. 
Now fear posts about how everyone is going to take all the money they don’t have out of the bank accounts"
564,gabbytangassi,2023-03-12 17:30:57+00:00,0,Twitter for iPhone,We’ve seen layoff affect mods/ethics. How can regulation help? Good policy can set guard rails and expectations
565,Sabu4mjupitor,2023-03-12 17:30:41+00:00,6,Twitter for Android,"One Adani vs Ecosystem

Silicon Valley Bank collapse may lead to 1,00,000 layoffs, impact 10,000 startups: Y Combinator writes to US Treasury Secy.

The petition, to save startups and hundreds of thousands of jobs, written by Garry Tan, CEO and President of Y Combinator has"
566,JET24FOX66,2023-03-12 17:30:04+00:00,2,SocialFlow,"To put it very unscientifically, the economy right now is weird. Major tech companies keep announcing layoffs, but unemployment claims fall week after week. https://t.co/AIbsUM6oJE"
567,fangers0_0,2023-03-12 17:28:33+00:00,6,Twitter Web App,"Massive layoffs, floundering investment foundation, had decades to prove they could something useful but 90 percent of it is parallax webpages and useful idiots spreading lies. Its over folks...at least i hope it is"
568,njtootsie,2023-03-12 17:27:53+00:00,1,Twitter for iPad,"@LKJGreystone @Lisa86550169 @Mollyploofkins Problem is that companies who had their assets in this bank will not be able to pay their employees. That may lead to layoffs, etc"
569,DanStickney1,2023-03-12 17:27:13+00:00,1,Twitter for Android,Mass layoffs coming per Andrew Yang
570,ObservantFishes,2023-03-12 17:27:10+00:00,1,Twitter Web App,@DraculaTrading The case for a bullish bounce: a) SVB doesn't lead to contagion. b) SVB leads to contagion but aggressive action is taken to shore up markets.  Bear case: a) contagion was Fed's goal and it's time to accelerate rate increases to lock in certainty of mass layoffs.
571,arach,2023-03-12 17:26:28+00:00,0,Twitter Web App,"I can imagine this very well because it happened to Breathe Life during the early March period 3 years ago.

We went from getting ready to wrap up a competitive series A round with multiple term sheets and firms ready to wire us funds to planning layoff scenarios within days."
572,Wardmaryb,2023-03-12 17:25:38+00:00,0,Twitter for Android,@MxCl74613523 @CollinRugg Housing prices are down bc they were artificially inflated by practically 0% interest rates for the last decade. No reason to think mortgagees will start defaulting unless we start seeing massive layoffs &amp; defaults - which we haven't seen so far https://t.co/e0lyTn0jes
573,emceeglory,2023-03-12 17:24:48+00:00,3,Twitter for iPhone,"Tech is selectively hated. When iOS 14 update happened - a ton of people that worked at companies reliant on FB ads literally cheered…

A lot of workers don’t get how these big swings impact them until layoffs or missed payroll happens."
574,AllieWag,2023-03-12 17:24:22+00:00,3,Twitter for iPhone,"@basedcone @sama Well, they are certainly owed back their percentage of the asset sale. Which should come close to making them whole. But if they are not made whole you will see significant belt tightening and probably many more layoffs, which could snowball the economy downhill."
575,blancoblip,2023-03-12 17:24:12+00:00,1,Twitter for iPhone,@Anon07__ Layoffs
576,makaelacj,2023-03-12 17:24:08+00:00,0,Twitter for iPhone,So sorry to all of those affected by the XM layoffs.
577,Monica___K,2023-03-12 17:23:54+00:00,1,Twitter Web App,"@Trader20Fh Layoffs starting still Mar/Apr, no change in earnings troubles either - but recession rather Q3.
That's all."
578,SonyPlacation,2023-03-12 17:23:30+00:00,0,Twitter for iPhone,@XcloudTimdog they mention the layoffs?
579,nplutoprince,2023-03-12 17:23:23+00:00,0,Twitter for Android,@tanyarlfes Duarr layoff
580,mtasic85,2023-03-12 17:22:32+00:00,0,Twitter for iPhone,"@SVB_Financial x Lehman Brothers 😡👹

https://t.co/3gzC746C7C 

#bank #svb #Banking #startup #FinancialCrisis #layoffs https://t.co/C5jY92OJqt"
581,JFortin670,2023-03-12 17:22:13+00:00,0,LinkedIn,"Losing a job can be a significant life event that can significantly impact your mental health. Coping with a layoff can be stressful, but there are several steps you can take to protect your mental health during this challenging ti…https://t.co/Ie0BqIk91a https://t.co/5j46v4ukMy"
582,Trader20Fh,2023-03-12 17:21:41+00:00,1,Twitter Web App,@Monica___K Mostly the timing of both layoff and earning downgrade
583,AlyndertheRed1,2023-03-12 17:21:29+00:00,0,IFTTT,"opensourceway: 5 ways to prioritize your DEI strategy when downsizing
With layoffs impacting many industries, these tips can help you maintain momentum in your diversity, equity, and inclusion initiatives
https://t.co/Ha07vWo9Mb 
#DEI"
584,CDReisswriter,2023-03-12 17:21:25+00:00,1,Twitter Web App,"@tmcleod3 @hankgreen Again... generalization.
This was not a normal bank.
Payrolls will be made up to a point, but yes, layoffs are gonna happen because the VC money WILL dry up with our without a bailout."
585,joaopaulofilho,2023-03-12 17:21:21+00:00,0,Twitter for Android,E mais layoffs vindo pra cá
586,GaliforniaSocal,2023-03-12 17:20:55+00:00,1,Twitter Web App,@AreYouAwaQe My daughter is toying around with changing jobs.  She's a tech person working for a well established co.  I warned her that a BIG economy downturn is on the brink of happening - skipping a recession and going directly to depression - which usually involves a lot of layoffs.
587,needyape,2023-03-12 17:20:13+00:00,0,Twitter for Android,@feelbetter___ Lah di layoff kamu?
588,chinovanzandt,2023-03-12 17:19:57+00:00,1,Twitter Web App,@dyer440 Yup. I think the next couple weeks will shed a lot of light on how these bank jitters play in to the fed reax function. Big q I have is how long it takes for this construction layoff stuff to ripple thru into broader wage data. Thesis depends on if/when this plays out
589,Wolves_Journal,2023-03-12 17:19:49+00:00,0,Twitter for iPhone,"United States is modern-day #Nazi Germany

• Political turmoil (Jan 6) 
• Economic hardship (Inflation, Layoffs, Currency devaluating) 
• New Social Freedoms (Woke culture) 

Currently, this is Weimar Republic."
590,ssak67,2023-03-12 17:18:56+00:00,6,Twitter for Android,"One Adani vs Ecosystem
Silicon Valley Bank collapse may lead to 1,00,000 layoffs, impact 10,000 startups: Y Combinator writes to US Treasury Secy.
The petition, to save startups and hundreds of thousands of jobs, written by Garry Tan, CEO and President of"
591,AnimationMerc,2023-03-12 17:18:48+00:00,0,Twitter Web App,"@Stitched @bclark_cgchar I just watched a video explaining how a ""return to work"" orders are being used to shake off employees in advance of layoffs. If that's the goal, it'll work."
592,iliResearch,2023-03-12 17:18:31+00:00,1,Twitter for iPhone,@DavidSacks Damage is done. Party is over. Time to mark to market all those shitcos on your balance sheet. Layoffs and shutdowns are next. Enjoy! $SPX
593,wwwojtekk,2023-03-12 17:16:48+00:00,57,Twitter for Android,"It's really unfortunate that after the mass layoffs and unemployment of the last few months, we are now having a complete financial system meltdown"
594,ValentinaUSA_FL,2023-03-12 17:16:25+00:00,0,Twitter Web App,"@JerryTa78899010 I don't believe them. If this is the case, there will be no interest rate increases and layoffs, or even inflation"
595,NonFungiblePete,2023-03-12 17:16:24+00:00,0,Twitter for iPhone,@wut76543 @HelenKennedy @MeidasTouch @Jason Works for me. Works for most. Problem is for employers that chose that awfully run bank. They need more than $250k to pay their employees. Many of these small co’s don’t have a treasury group. We’d hate to see massive layoffs in one sector of our economy b/c of SVB mismanagement
596,AlxLndOMountain,2023-03-12 17:16:24+00:00,0,Twitter Web App,"@theurv FDIC ins. shld be enough 2b paid for work you did &amp; unemployment ins. will cover you going forward should the cos fail, like for every other worker in the economy. VCs didn't give a shit about workers in cheering 100K layoffs. Not sure why we should let VC hide behind them now"
597,g87581,2023-03-12 17:16:21+00:00,1,Twitter for Android,Those who expect inflation to drop and wait for the interest rate to drop as a result... it will come from somewhere else... the collapse of the bank will cause a chain reaction in high-tech and large layoffs...
598,opensourceway,2023-03-12 17:16:00+00:00,7,Sprout Social,"5 ways to prioritize your DEI strategy when downsizing
With layoffs impacting many industries, these tips can help you maintain momentum in your diversity, equity, and inclusion initiatives
https://t.co/kc7cuFbaJD 
#DEI"
599,SomniNaut,2023-03-12 17:15:59+00:00,67,Twitter Web App,"@molly0xFFF How many of these people expressed concerns about the fate of all those tech employees who got laid off?

Zero.

Most of them gloated, because VCs would profit from the layoffs."
600,WilderShevonne,2023-03-12 17:15:54+00:00,19,Twitter for iPhone,@troubleshade They’re feuding bcuz there should have been leaks abt the Christening to British media who’s facing bankruptcy &amp; layoffs. Those Royal rats are seething with anger losing all that doe to America 🇺🇸. Watch more&amp; more negative stories. https://t.co/rH88s6oaUs
601,ii_analyze,2023-03-12 17:15:45+00:00,0,Twitter for iPhone,"@investstupid69 This of it this way, Lehman's credits were mostly other investment banks. SVB's creditors are loads of American businesses and individuals. Unwealthy individuals will be fine as deposits up to $250K are insured, but there may be a lot of layoffs in Cali."
602,MsJuicyGenius,2023-03-12 17:15:44+00:00,77,Twitter for iPhone,"We’re literally in a recession, banks are collapsing, 10s of thousands of job layoffs and the media and current administration are walking around like: https://t.co/sbBj8yLms3"
603,Ninja0179048354,2023-03-12 17:15:09+00:00,71,Twitter for Android,"One #Adani vs #Ecosystem

#SiliconValleyBank collapse may lead to 1,00,000 layoffs, impact 10,000 startups: Y Combinator writes to US Treasury Secy."
604,jaccocharite,2023-03-12 17:14:45+00:00,15,Twitter for Android,"the hardest, the report claimed. 

The firm fired 11K workers four months ago and the reported upcoming cull would make it the first big tech company to do a second round of mass layoffs"
605,jaccocharite,2023-03-12 17:14:43+00:00,43,Twitter for Android,"More Meta Mass Layoffs? - Reports

A new wave of job cuts, matching the 13% job cut tally from last year, is on its way at the tech giant’s offices.  (Wall Street Journal citing sources) 

The first round is expected to be announced next week - striking non-engineering roles 
1/ https://t.co/9ZWV9vjWCw"
606,omardyer,2023-03-12 17:14:43+00:00,2,Twitter for iPhone,If businesses can’t trust the government on meeting payroll dividends and interest rates are so high. Small businesses can’t borrow from banks to meet payroll. When a business can’t meet payroll they layoff workers. Bailing out SVB is more important than letting Lehman Brothers…
607,JewishPress,2023-03-12 17:14:26+00:00,2,JewishPress feed,More Layoffs: Silicon Valley Bank’s Israeli Branch is Closing - @JewishPress - https://t.co/AzDrWvT2bU https://t.co/5drXvU4JlM
608,TraitorTrump666,2023-03-12 17:13:55+00:00,2,Twitter for Android,"@Brock_toon @GarbageApe Those tech layoffs are necessary sacrifices so executives can continue to give themselves exorbitant bonuses and raises for attending a few fully catered meetings every month. Also to make-up for failures in leadership, such as the metaverse"
609,NicoleEvans1982,2023-03-12 17:13:52+00:00,1,Twitter Web App,"@ylnoandeno @AlexBerenson @pfizer Many states don't allow for reduced wages, CA being the big one. It's illegal. And $250K covers payroll? Lol

They have until Wednesday to pay payroll for any CA employees or layoffs happen immediately"
610,jjtonerracing,2023-03-12 17:13:22+00:00,4,Twitter for iPhone,"In the night cap, FOR THE FLAG makes her first start for us in race 10! She comes into the race after an over 15 month layoff, looking to break her maiden. @jorgeruizjockey gets the leg up for a 5:06pm post. Tune in to cheer on both fillies! https://t.co/cjSeSzrZSX"
611,kierzek2018,2023-03-12 17:13:19+00:00,0,Twitter for iPhone,"Andrew Yang warns of 'mass layoffs,' calls for government intervention after Silicon Valley Bank collapse https://t.co/zpndZrTNdG"
612,kirabira,2023-03-12 17:13:16+00:00,2,Twitter for iPhone,Why does it have such enormous cash in reserves in general? I thought it was struggling and absolutely had to do layoffs 30 seconds ago. Seems like it’s in a pretty strong position of losing many many millions of dollars only knocks out 26% of its cash. https://t.co/PRH1oaUnOF
613,bartekr,2023-03-12 17:12:52+00:00,0,Twitter for iPhone,"4/Week of 3/20 - General bank run causes collapse of hundreds or thousands of banks across country, depositing them overseas or at big 4.

Week of 3/27 - layoffs begin at regional banks.  Lending stops.

Week of 4/3 - layoffs spread to general economy"
614,Bleakhouse12,2023-03-12 17:12:36+00:00,51,Twitter for Android,"Thousands of Tech sector layoffs  incoming in Ireland. Runs on more 'blue chip' banks likely as contagion spreads (depending on how far the tentacles of financial Instruments reached). If so bail ins most likely,aka as government theft of savings, Cyprus set a precedent. https://t.co/bN57qJZQjm"
615,mediiaaaa,2023-03-12 17:12:18+00:00,0,Twitter for Android,@tanyarlfes Awas ntar duit perusahaan habis terus layoff 😂😂
616,WildWestWarren,2023-03-12 17:12:17+00:00,1,Twitter for iPhone,"Andrew Yang warns of 'mass layoffs,' calls for government intervention after Silicon Valley Bank collapse Remember 2008 and Too Big to Fail?” https://t.co/IHCClcJUkR"
617,newguy42,2023-03-12 17:12:10+00:00,0,Twitter for iPhone,@DucatiAZ @RealHickory Unemployment below 5% is a major cause of inflation. The FED is purposely causing layoffs with higher interest rates so we can get back to normal levels of inflation and unemployment. This is what needs to be done.
618,askcannaqueen,2023-03-12 17:11:53+00:00,3,Twitter Web App,I've been saying this about the mass cannabis layoffs but have been too depressed to research or pitch it 💩
619,vitorgga,2023-03-12 17:11:51+00:00,1,Twitter Web App,1. possivelmente um monte de #layoffs por conta de startups q não conseguirão pagar seus times
620,DannyPage,2023-03-12 17:11:47+00:00,6,Twitter for iPhone,"lol here’s Jason C literally calling for Twitter layoffs in texts to Elon back in April of last year, now he’s trying to stir up panic. which makes me wonder: was all of his assets locked up in this?"
621,DH_Kannada,2023-03-12 17:11:28+00:00,0,Twitter Web App,"ಮತ್ತೆ ಉದ್ಯೋಗಿಗಳನ್ನು ಕೆಲಸದಿಂದ ವಜಾಗೊಳಿಸಲು ಮುಂದಾದ ಮೆಟಾ ಕಂಪನಿ.
#Meta #Facebook #Instagram #Whatsapp #MarkZuckerberg #Layoff #Employees #News #Kannada #KannadaNews #Dailyhunt 
https://t.co/GcAhCVeiar"
622,AlexRaffalli,2023-03-12 17:10:53+00:00,0,Twitter for iPhone,“Mass layoffs”
623,jetb69,2023-03-12 17:10:00+00:00,1,Twitter Web App,Do you remember when workers got layoff because they refused the experimental injections causing the present situation? Danielle recognizes the problem caused by Trudeau and apologized for that terrible discrimination. Now we all paid the price to replace them. Understand?
624,Sunshinelove68,2023-03-12 17:09:53+00:00,10,Twitter for Android,"💥Mass layoffs including workers who are pregnant or on parental leave may seem unfair, but not illegal in the US.Its just getting worse &amp; worse. How will people  support themselves.But UKRAINE and the ILLEGALS will be living just fine.Sick of their $hit!
https://t.co/oTLWjNEq9L"
625,websurfshop,2023-03-12 17:09:33+00:00,0,TweetDeck,"@RevShark ...after all the ""work"" the FED is doing they are finally getting what they want... more layoffs and a bust to the economy..."
626,adeboom1,2023-03-12 17:08:32+00:00,0,TweetDeck,@howardlindzon Devil's question--isn't layoffs what the Fed is trying to achieve?
627,ACumbow,2023-03-12 17:06:43+00:00,250,Twitter for iPhone,"Also, don’t forget the fact that Michigan State beat 3 top 5 teams down the stretch or the fact they played 3 road games in a 6 day span after a 20 day layoff. 

They should have played 17 games like some other programs did that year and they wouldn’t have gone 9-11."
628,AmmoniteChris,2023-03-12 17:06:32+00:00,0,Twitter for Android,"@balajis The part your missing the invasion of Ukraine is what they wanted to happen because we get to fight a proxy war. 

Same thing here, they want some.banks to fail and layoffs to happen because they want unemployment to rise."
629,Ryancantsing,2023-03-12 17:05:02+00:00,0,Twitter Web App,Usually in any large bailout what happens is a lot of layoffs of said workers and big guys cut fat checks celebrate. First quarter looks great and they can just hire new desperate devs for cheaper!
630,TravyPatty33,2023-03-12 17:04:18+00:00,2,Twitter for iPhone,Word on the street is Meta is prepping for another round of layoffs. Absolute yikes for everyone in the tech industry. Bout to get real ugly the next year😬. Best move rn is just to be interview ready.
631,MusicSuiteC,2023-03-12 17:03:00+00:00,1,Twitter Web App,"Meta Plans Thousands More Layoffs Ahead of Zuckerberg's Paternity Leave https://t.co/3eUZffzv1Q … …    via @YahooNews 
#Meta     #layoffs     #jobcuts    #employees    #TechNews    #paternityleave    #MarkZuckerberg"
632,piyushsingh099,2023-03-12 17:03:00+00:00,6,Twitter Web App,"If at first, you don't succeed, add more console.log statements.

#hireme #layoffs #techjokes #shitposting #frontendDev #webdevelopment #remotejobs #hiring 
#FrontEndDeveloper #frontenddev #reactjs #javascript #buildinpublic #devjokes"
633,TheHubCT1,2023-03-12 17:02:20+00:00,0,Agorapulse app,"Our job is so entangled with our identity that, quite literally, what we do is who we are. During a layoff, friends can provide a confidence boost and help someone keep good habits and routines. https://t.co/d4Fcq2yhz3 https://t.co/3Trh3xJZ5L"
634,teknocks,2023-03-12 17:02:09+00:00,0,IFTTT,"Opinion : What is the reason behind tech companies' employee layoffs? - ProfessPost 

#technology #tech #technews #teknocks
via /r/technology https://t.co/YnfftjYbPf"
635,Brock_toon,2023-03-12 17:02:01+00:00,102,Twitter for Android,The saving jobs talk would have a lot more purchase if we weren't in the midst of a massive round of tech layoffs
636,MartianBalls,2023-03-12 17:01:50+00:00,0,Twitter for iPhone,@Falekbaldwinn @Adrena1ine045 @ComicLoverMari 60 k layoffs in the last ten years vs 60000k+ hired in the last ten years guess which company is which
637,paulagrangeiro,2023-03-12 17:00:33+00:00,12,Twitter for iPhone,pelo menos onlyfans não faz layoff
638,AndreoliFinServ,2023-03-12 17:00:14+00:00,0,AdvisorStream v2,As layoffs ripple through tech—and beyond—colleagues who get to keep their jobs are left wondering what to say and how to help. https://t.co/c6lAnvnTGo https://t.co/EYy8w9mmse
639,Whatfinger1,2023-03-12 16:59:57+00:00,0,Twitter Web App,"The #tech sector has already been experiencing layoffs and is under pressure, as it is the hub of American innovation, what will be the severity of the consequences for innovation?

Treasury Secretary #JanetYellen responded, It depends. https://t.co/EzYGwbOF8X"
640,kbr5Rose,2023-03-12 16:59:47+00:00,0,Twitter for iPhone,"@WhiteHouse Economic failure, Banks failing, Layoffs accelerating, Inflation raging, Foreign Policy disasters, Open Southern Border, Interest  rates rising at fast pace in decades, home market crash…it’s going well if that’s what you want"
641,Matthew42813766,2023-03-12 16:59:09+00:00,3,Twitter Web App,"@Austen @aargreen The employees just lose their jobs, it’s effectively a layoff for them. Only the rich people actually lose everything.

To be clear I’m not defending the argument that because it’s rich people it doesn’t matter, it’s just a different level of impact for the employees."
642,JessSRosen,2023-03-12 16:59:00+00:00,1,Typefully,"3. Pencils down &gt; volunteer work

As painful as it is, if you can't make payroll, stop the work.

See No. 1 ⬆️

Make contingency plans in case you need to cut payroll fast

Examples: pay reductions, furloughs, layoffs

BUT:"
643,jaccocharite,2023-03-12 16:58:48+00:00,6,Twitter for Android,"from the Fed. Many have been planning for a downturn for months, cutting costs elsewhere,” the company’s senior vice president, Andrew Challenger, stated. “If things continue to cool, layoffs are typically the last piece in company cost-cutting strategies.”"
644,KylehT408,2023-03-12 16:58:12+00:00,0,Twitter for iPhone,"@Jedi_ant Layoffs was always the goal if they wanted to curb demands.  The fact JPow said,” soft landing, disinflationary and transitory” will get pressured to resign. My prediction he will resign by end of 2023 once we are officially in a recession by all metrics."
645,plague_of_coc,2023-03-12 16:57:47+00:00,0,Twitter for Android,@VP @POTUS LOL.. what about the TECH hundreds of thousand layoffs by Tech companies in the last 6 months?
646,AlternateJones,2023-03-12 16:57:40+00:00,8,Twitter Web App,"""Directors in California are personally liable for unpaid wage claims so the layoffs will begin immediately if FDIC does not announce a plan to release funds"""
647,NicoleEvans1982,2023-03-12 16:57:36+00:00,1,Twitter Web App,"@ylnoandeno @AlexBerenson @pfizer The sky is falling is coming from a lot of heartbroken entrepreneurs getting ready to layoff their whole teams this week. And from VC firms who truly care about these companies AND their investments. I'm sorry, but having been texting with investors all weekend, you're wrong"
648,Charlieknoll121,2023-03-12 16:57:29+00:00,0,Twitter for Android,@POTUS Covid layoffs is not job creation numbnutts
649,tomijo214,2023-03-12 16:57:11+00:00,0,Twitter for iPhone,"@SpeakerPelosi @POTUS Walmart stores closing due to BLM riot effects; Amazon and Google layoffs… 180k job loss from Jan-Feb 5x higher than 2021) U.S. job cuts over Jan-Feb hit highest since 2009 - report

https://t.co/FA8ELMCqdK"
